"Date","Time","Open","High","Low","Close","Up","Down","GapDn","GapUp"
01/02/1991,10:30,1.53,1.54,1.50,1.52,10640000,0,0.00,0.00
01/02/1991,11:30,1.51,1.53,1.51,1.52,3796800,0,0.00,0.00
01/02/1991,12:30,1.53,1.54,1.52,1.53,1775200,0,0.00,0.00
01/02/1991,13:30,1.53,1.53,1.52,1.52,1839600,0,0.00,0.00
01/02/1991,14:30,1.52,1.54,1.52,1.54,565600,0,0.00,0.00
01/02/1991,15:30,1.54,1.56,1.53,1.55,15251600,0,0.00,0.00
01/02/1991,16:00,1.56,1.57,1.55,1.56,3701600,0,0.00,0.00
01/03/1991,10:30,1.55,1.58,1.55,1.55,11253200,0,0.00,0.00
01/03/1991,11:30,1.55,1.57,1.55,1.56,3978800,0,0.00,0.00
01/03/1991,12:30,1.56,1.57,1.56,1.56,2962400,0,0.00,0.00
01/03/1991,13:30,1.56,1.57,1.54,1.55,4757200,0,0.00,0.00
01/03/1991,14:30,1.55,1.55,1.54,1.55,1937600,0,0.00,0.00
01/03/1991,15:30,1.55,1.55,1.54,1.54,6090000,0,0.00,0.00
01/03/1991,16:00,1.54,1.55,1.54,1.55,4732000,0,0.00,0.00
01/04/1991,10:30,1.54,1.56,1.54,1.56,7557200,0,0.00,0.00
01/04/1991,11:30,1.56,1.58,1.55,1.57,6151600,0,0.00,0.00
01/04/1991,12:30,1.57,1.58,1.55,1.56,8254400,0,0.00,0.00
01/04/1991,13:30,1.55,1.57,1.55,1.56,5196800,0,0.00,0.00
01/04/1991,14:30,1.55,1.57,1.55,1.55,1299200,0,0.00,0.00
01/04/1991,15:30,1.55,1.57,1.55,1.55,2478000,0,0.00,0.00
01/04/1991,16:00,1.55,1.56,1.54,1.54,2310000,0,0.00,0.00
01/07/1991,10:30,1.54,1.58,1.54,1.58,14750400,0,0.00,0.00
01/07/1991,11:30,1.58,1.61,1.57,1.60,12840800,0,0.00,0.00
01/07/1991,12:30,1.60,1.61,1.59,1.61,5054000,0,0.00,0.00
01/07/1991,13:30,1.60,1.62,1.58,1.59,14610400,0,0.00,0.00
01/07/1991,14:30,1.59,1.59,1.57,1.58,11230800,0,0.00,0.00
01/07/1991,15:30,1.57,1.58,1.55,1.57,6994400,0,0.00,0.00
01/07/1991,16:00,1.56,1.57,1.54,1.54,9116800,0,0.00,0.00
01/08/1991,10:30,1.56,1.57,1.52,1.54,21226800,0,0.00,0.00
01/08/1991,11:30,1.54,1.54,1.53,1.54,9438800,0,0.00,0.00
01/08/1991,12:30,1.53,1.55,1.53,1.55,5978000,0,0.00,0.00
01/08/1991,13:30,1.54,1.56,1.54,1.56,6535200,0,0.00,0.00
01/08/1991,14:30,1.55,1.56,1.54,1.55,3074400,0,0.00,0.00
01/08/1991,15:30,1.55,1.55,1.54,1.54,3976000,0,0.00,0.00
01/08/1991,16:00,1.54,1.55,1.54,1.54,1918000,0,0.00,0.00
01/09/1991,10:30,1.59,1.59,1.57,1.58,23111200,0,0.00,1.60
01/09/1991,11:30,1.58,1.60,1.58,1.59,8324400,0,0.00,0.00
01/09/1991,12:30,1.59,1.63,1.59,1.63,13949600,0,0.00,0.00
01/09/1991,13:30,1.63,1.64,1.62,1.63,10682000,0,0.00,0.00
01/09/1991,15:30,1.60,1.61,1.60,1.60,2436000,0,1.60,0.00
01/09/1991,16:00,1.61,1.63,1.60,1.62,6521200,0,0.00,0.00
01/10/1991,10:30,1.63,1.68,1.63,1.67,32068400,0,0.00,0.00
01/10/1991,11:30,1.68,1.69,1.66,1.67,17735200,0,0.00,0.00
01/10/1991,12:30,1.67,1.68,1.66,1.67,14047600,0,0.00,0.00
01/10/1991,13:30,1.68,1.68,1.67,1.67,11684400,0,0.00,0.00
01/10/1991,14:30,1.67,1.68,1.67,1.67,6028400,0,0.00,0.00
01/10/1991,15:30,1.67,1.68,1.66,1.68,7610400,0,0.00,0.00
01/10/1991,16:00,1.68,1.69,1.67,1.68,12737200,0,0.00,0.00
01/11/1991,10:30,1.67,1.68,1.65,1.65,26093200,0,0.00,0.00
01/11/1991,11:30,1.65,1.66,1.64,1.64,8948800,0,0.00,0.00
01/11/1991,12:30,1.64,1.66,1.64,1.65,12236000,0,0.00,0.00
01/11/1991,13:30,1.66,1.66,1.65,1.65,11838400,0,0.00,0.00
01/11/1991,14:30,1.66,1.66,1.65,1.65,2839200,0,0.00,0.00
01/11/1991,15:30,1.65,1.68,1.65,1.67,7319200,0,0.00,0.00
01/11/1991,16:00,1.67,1.69,1.67,1.69,6823600,0,0.00,0.00
01/14/1991,10:30,1.64,1.66,1.64,1.65,12863200,0,1.64,0.00
01/14/1991,11:30,1.65,1.67,1.65,1.67,5580400,0,0.00,0.00
01/14/1991,12:30,1.66,1.67,1.65,1.66,5471200,0,0.00,0.00
01/14/1991,13:30,1.66,1.67,1.65,1.65,4667600,0,0.00,0.00
01/14/1991,14:30,1.65,1.66,1.64,1.64,7198800,0,0.00,0.00
01/14/1991,15:30,1.65,1.67,1.64,1.66,11457600,0,0.00,0.00
01/14/1991,16:00,1.66,1.67,1.65,1.66,4029200,0,0.00,0.00
01/15/1991,10:30,1.65,1.66,1.65,1.66,11608800,0,0.00,0.00
01/15/1991,11:30,1.66,1.66,1.65,1.65,7492800,0,0.00,0.00
01/15/1991,12:30,1.66,1.66,1.65,1.65,3362800,0,0.00,0.00
01/15/1991,13:30,1.66,1.66,1.64,1.64,6395200,0,0.00,0.00
01/15/1991,14:30,1.65,1.66,1.64,1.66,4141200,0,0.00,0.00
01/15/1991,15:30,1.66,1.67,1.65,1.65,11085200,0,0.00,0.00
01/15/1991,16:00,1.65,1.67,1.65,1.66,2139200,0,0.00,0.00
01/16/1991,10:30,1.68,1.69,1.67,1.68,17211600,0,0.00,0.00
01/16/1991,11:30,1.68,1.70,1.68,1.68,4751600,0,0.00,0.00
01/16/1991,12:30,1.70,1.71,1.68,1.71,12574800,0,0.00,0.00
01/16/1991,13:30,1.71,1.73,1.71,1.72,14061600,0,0.00,0.00
01/16/1991,14:30,1.71,1.75,1.71,1.74,11754400,0,0.00,0.00
01/16/1991,15:30,1.75,1.79,1.74,1.77,23018800,0,0.00,0.00
01/16/1991,16:00,1.78,1.79,1.76,1.78,11116000,0,0.00,0.00
01/17/1991,10:30,1.88,1.88,1.80,1.80,21030800,0,0.00,1.89
01/17/1991,11:30,1.80,1.81,1.75,1.78,7100800,0,0.00,0.00
01/17/1991,12:30,1.77,1.81,1.76,1.79,4460400,0,0.00,0.00
01/17/1991,13:30,1.88,1.88,1.77,1.77,5773600,0,0.00,1.89
01/17/1991,14:30,1.77,1.80,1.77,1.79,10785600,0,0.00,0.00
01/17/1991,15:30,1.79,1.83,1.79,1.82,26258400,0,0.00,0.00
01/17/1991,16:00,1.82,1.83,1.82,1.83,8363600,0,0.00,0.00
01/18/1991,10:30,1.75,1.77,1.74,1.76,76076000,0,1.74,0.00
01/18/1991,11:30,1.76,1.76,1.73,1.74,35036400,0,0.00,0.00
01/18/1991,12:30,1.75,1.77,1.74,1.75,18200000,0,0.00,0.00
