"Date","Time","Open","High","Low","Close","Up","Down","GapDn","GapUp"
01/02/1991,10:30,1.53,1.54,1.50,1.52,10640000,0,0.00,0.00
01/02/1991,11:30,1.51,1.53,1.51,1.52,3796800,0,0.00,0.00
01/02/1991,12:30,1.53,1.54,1.52,1.53,1775200,0,0.00,0.00
01/02/1991,13:30,1.53,1.53,1.52,1.52,1839600,0,0.00,0.00
01/02/1991,14:30,1.52,1.54,1.52,1.54,565600,0,0.00,0.00
01/02/1991,15:30,1.54,1.56,1.53,1.55,15251600,0,0.00,0.00
01/02/1991,16:00,1.56,1.57,1.55,1.56,3701600,0,0.00,0.00
01/03/1991,10:30,1.55,1.58,1.55,1.55,11253200,0,0.00,0.00
01/03/1991,11:30,1.55,1.57,1.55,1.56,3978800,0,0.00,0.00
01/03/1991,12:30,1.56,1.57,1.56,1.56,2962400,0,0.00,0.00
01/03/1991,13:30,0.81,1.57,1.54,1.55,4757200,0,0.00,0.00
01/03/1991,14:30,1.55,1.55,1.54,1.55,1937600,0,0.00,0.00
01/03/1991,15:30,1.55,1.55,1.54,1.54,6090000,0,0.00,0.00
01/03/1991,16:00,1.54,1.55,1.54,1.55,4732000,0,0.00,0.00
01/04/1991,10:30,1.54,1.56,1.54,1.56,7557200,0,0.00,0.00
01/04/1991,11:30,1.56,1.58,1.55,1.57,6151600,0,0.00,0.00
01/04/1991,12:30,1.57,1.58,1.55,1.56,8254400,0,0.00,0.00
01/04/1991,13:30,1.55,1.57,1.55,1.56,5196800,0,0.00,0.00
01/04/1991,14:30,1.55,1.57,1.55,1.55,1299200,0,0.00,0.00
01/04/1991,15:30,1.55,1.57,1.55,1.55,2478000,0,0.00,0.00
01/04/1991,16:00,1.55,1.56,1.54,1.54,2310000,0,0.00,0.00
01/07/1991,10:30,1.54,1.58,1.54,1.58,14750400,0,0.00,0.00
01/07/1991,11:30,1.58,1.61,1.57,1.60,12840800,0,0.00,0.00
01/07/1991,12:30,1.60,1.61,1.59,1.61,5054000,0,0.00,0.00
01/07/1991,13:30,1.60,1.62,1.58,1.59,14610400,0,0.00,0.00
01/07/1991,14:30,1.59,1.59,1.57,1.58,11230800,0,0.00,0.00
01/07/1991,15:30,1.57,1.58,1.55,1.57,6994400,0,0.00,0.00
01/07/1991,16:00,1.56,1.57,1.54,1.54,9116800,0,0.00,0.00
01/08/1991,10:30,1.56,1.57,1.52,1.54,21226800,0,0.00,0.00
01/08/1991,11:30,1.54,1.54,1.53,1.54,9438800,0,0.00,0.00
01/08/1991,12:30,1.53,1.55,1.53,1.55,5978000,0,0.00,0.00
01/08/1991,13:30,1.54,1.56,1.54,1.56,6535200,0,0.00,0.00
01/08/1991,14:30,1.55,1.56,1.54,1.55,3074400,0,0.00,0.00
01/08/1991,15:30,1.55,1.55,1.54,1.54,3976000,0,0.00,0.00
01/08/1991,16:00,1.54,1.55,1.54,1.54,1918000,0,0.00,0.00
01/09/1991,10:30,1.59,1.59,1.57,1.58,23111200,0,0.00,1.60
