"Date","Time","Open","High","Low","Close","Up","Down","GapDn","GapUp","Vol","VolAvg"
05/23/2002,11:30,1.16,1.24,1.15,1.22,21250600,23739800,0.00,0.00,0.00,0.00
05/23/2002,12:30,1.22,1.23,1.20,1.21,6305600,7903000,0.00,0.00,0.00,0.00
05/23/2002,13:30,1.21,1.22,1.21,1.22,2898000,2606800,0.00,0.00,0.00,0.00
05/23/2002,14:30,1.22,1.22,1.17,1.19,2853200,3925600,0.00,0.00,0.00,0.00
05/23/2002,15:30,1.19,1.21,1.18,1.19,3333400,6337800,0.00,0.00,0.00,0.00
05/23/2002,16:00,1.19,1.21,1.19,1.20,4715200,5154800,0.00,0.00,0.00,0.00
05/24/2002,10:30,1.21,1.22,1.20,1.21,3119200,1583400,0.00,0.00,0.00,0.00
05/24/2002,11:30,1.21,1.21,1.20,1.21,1104600,1073800,0.00,0.00,0.00,0.00
05/24/2002,12:30,1.21,1.21,1.20,1.21,151200,142800,0.00,0.00,0.00,0.00
05/24/2002,13:30,1.21,1.23,1.20,1.22,550200,345800,0.00,0.00,0.00,0.00
05/24/2002,14:30,1.22,1.22,1.21,1.22,322000,646800,0.00,0.00,0.00,0.00
05/24/2002,15:30,1.21,1.22,1.21,1.22,222600,575400,0.00,0.00,0.00,0.00
05/24/2002,16:00,1.22,1.22,1.21,1.21,218400,639800,0.00,0.00,0.00,0.00
05/28/2002,10:30,1.21,1.23,1.21,1.22,942200,926800,0.00,0.00,0.00,0.00
05/28/2002,11:30,1.22,1.22,1.21,1.21,392000,716800,0.00,0.00,0.00,0.00
05/28/2002,12:30,1.21,1.22,1.18,1.18,417200,726600,0.00,0.00,0.00,0.00
05/28/2002,13:30,1.18,1.18,1.17,1.18,553000,56000,0.00,0.00,0.00,0.00
05/28/2002,14:30,1.18,1.18,1.16,1.16,292600,457800,0.00,0.00,0.00,0.00
05/28/2002,15:30,1.17,1.17,1.16,1.17,455000,275800,0.00,0.00,0.00,0.00
05/28/2002,16:00,1.17,1.17,1.16,1.16,198800,316400,0.00,0.00,0.00,0.00
05/29/2002,10:30,1.16,1.16,1.14,1.14,452200,460600,0.00,0.00,0.00,0.00
05/29/2002,11:30,1.14,1.14,1.09,1.10,635600,1433600,0.00,0.00,0.00,0.00
05/29/2002,12:30,1.10,1.11,1.10,1.10,236600,232400,0.00,0.00,0.00,0.00
05/29/2002,13:30,1.10,1.12,1.10,1.11,665000,247800,0.00,0.00,0.00,0.00
05/29/2002,14:30,1.11,1.11,1.11,1.11,456400,401800,0.00,0.00,0.00,0.00
05/29/2002,15:30,1.11,1.11,1.11,1.11,117600,400400,0.00,0.00,0.00,0.00
05/29/2002,16:00,1.11,1.11,1.10,1.10,95200,767200,0.00,0.00,0.00,0.00
05/30/2002,10:30,1.11,1.11,1.09,1.09,420000,543200,0.00,0.00,0.00,0.00
05/30/2002,11:30,1.09,1.10,1.07,1.07,830200,3025400,0.00,0.00,0.00,0.00
05/30/2002,12:30,1.07,1.08,1.07,1.08,903000,226800,0.00,0.00,0.00,0.00
05/30/2002,13:30,1.08,1.08,1.08,1.08,110600,23800,0.00,0.00,0.00,0.00
05/30/2002,14:30,1.08,1.08,1.08,1.08,396200,947800,0.00,0.00,0.00,0.00
05/30/2002,15:30,1.08,1.08,1.08,1.08,1023400,602000,0.00,0.00,0.00,0.00
05/30/2002,16:00,1.08,1.08,1.07,1.07,123200,771400,0.00,0.00,0.00,0.00
05/31/2002,10:30,1.08,1.08,1.07,1.07,249200,393400,0.00,0.00,0.00,0.00
05/31/2002,11:30,1.07,1.08,1.07,1.08,106400,53200,0.00,0.00,0.00,0.00
05/31/2002,12:30,1.07,1.08,1.07,1.07,79800,54600,0.00,0.00,0.00,0.00
05/31/2002,13:30,1.07,1.08,1.07,1.07,109200,75600,0.00,0.00,0.00,0.00
05/31/2002,14:30,1.07,1.08,1.07,1.07,448000,705600,0.00,0.00,0.00,0.00
05/31/2002,15:30,1.07,1.07,1.07,1.07,91000,376600,0.00,0.00,0.00,0.00
05/31/2002,16:00,1.07,1.08,1.07,1.08,1467200,821800,0.00,0.00,0.00,0.00
06/03/2002,10:30,1.08,1.10,1.08,1.08,316400,306600,0.00,0.00,0.00,0.00
