"Date","Time","Open","High","Low","Close","Up","Down","GapDn","GapUp"
01/02/1991,10:30,14.53,14.59,14.47,14.50,464400,0,0.00,0.00
01/02/1991,11:30,14.50,14.50,14.47,14.47,481200,0,0.00,0.00
01/02/1991,12:30,14.50,14.50,14.47,14.50,137200,0,0.00,0.00
01/02/1991,13:30,14.50,14.50,14.44,14.44,493600,0,0.00,0.00
01/02/1991,14:30,14.47,14.47,14.41,14.41,242400,0,0.00,0.00
01/02/1991,15:30,14.38,14.41,14.31,14.34,282400,0,0.00,0.00
01/02/1991,16:00,14.28,14.34,14.28,14.31,92800,0,0.00,0.00
01/03/1991,10:30,14.34,14.38,14.16,14.19,315600,0,0.00,0.00
01/03/1991,11:30,14.16,14.22,14.16,14.19,332000,0,0.00,0.00
01/03/1991,12:30,14.19,14.19,14.13,14.16,221200,0,0.00,0.00
01/03/1991,13:30,14.16,14.16,14.03,14.09,144000,0,0.00,0.00
01/03/1991,14:30,14.06,14.09,14.03,14.09,100400,0,0.00,0.00
01/03/1991,15:30,14.09,14.09,14.06,14.09,109200,0,0.00,0.00
01/03/1991,16:00,14.09,14.09,14.03,14.09,102000,0,0.00,0.00
01/04/1991,10:30,14.09,14.19,14.09,14.16,342800,0,0.00,0.00
01/04/1991,11:30,14.16,14.25,14.16,14.22,265200,0,0.00,0.00
01/04/1991,12:30,14.22,14.28,14.03,14.19,534400,0,0.00,0.00
01/04/1991,13:30,14.19,14.31,14.16,14.25,266800,0,0.00,0.00
01/04/1991,14:30,14.25,14.28,14.19,14.19,67200,0,0.00,0.00
01/04/1991,15:30,14.22,14.22,14.13,14.13,208400,0,0.00,0.00
01/04/1991,16:00,14.16,14.22,14.13,14.16,105200,0,0.00,0.00
01/07/1991,10:30,14.28,14.28,14.22,14.22,415200,0,0.00,0.00
01/07/1991,11:30,14.22,14.25,14.22,14.25,156400,0,0.00,0.00
01/07/1991,12:30,14.25,14.31,14.25,14.31,119200,0,0.00,0.00
01/07/1991,13:30,14.31,14.31,14.22,14.22,122800,0,0.00,0.00
01/07/1991,14:30,14.19,14.25,14.16,14.22,260000,0,0.00,0.00
